game_id,season,week,away_team,home_team,kickoff,model_total,market_total_open,market_total_at_bet,line_basis,edge,side,recorded_at,actual_total,market_total_close,result,graded_at,protocol_version,book,quote_observed_at,quote_source,quote_id,price,price_status,model_version,quote_payload
401858423,2026,1,Massachusetts,Rutgers,2026-09-03 22:00:00+00:00,53.29,,54.5,opener,-1.21,UNDER,2026-08-21T16:36:33+00:00,58.0,54.5,LOSS,2026-09-04T16:44:30+00:00,,,,,,,,,
401869960,2026,1,Liberty,James Madison,2026-09-05 16:00:00+00:00,54.27,,50.5,opener,3.77,OVER,2026-08-21T16:36:33+00:00,33.0,50.5,LOSS,2026-09-06T15:59:30+00:00,,,,,,,,,
401858201,2026,1,Hawai'i,Stanford,2026-08-29 23:00:00+00:00,51.87,,50.5,opener,1.37,OVER,2026-08-21T16:36:33+00:00,64.0,48.5,WIN,2026-08-30T17:13:02+00:00,,,,,,,,,
401858209,2026,1,Tulane,Duke,2026-09-05 19:30:00+00:00,58.46,,53.5,opener,4.96,OVER,2026-08-21T16:36:33+00:00,20.0,50.5,LOSS,2026-09-06T15:59:30+00:00,,,,,,,,,
401862693,2026,1,Memphis,UNLV,2026-08-30 02:00:00+00:00,65.12,,60.5,opener,4.62,OVER,2026-08-21T16:36:33+00:00,48.0,55.5,LOSS,2026-08-30T17:13:02+00:00,,,,,,,,,
401858428,2026,1,Western Michigan,Michigan,2026-09-05 23:30:00+00:00,49.73,,47.5,opener,2.23,OVER,2026-08-21T16:36:33+00:00,25.0,49.5,LOSS,2026-09-06T15:59:30+00:00,,,,,,,,,
401858424,2026,1,UAB,Illinois,2026-09-04 01:00:00+00:00,54.24,,56.5,opener,-2.26,UNDER,2026-08-21T16:36:33+00:00,65.0,54.5,LOSS,2026-09-04T16:44:30+00:00,,,,,,,,,
401864498,2026,1,Central Michigan,New Mexico,2026-09-06 02:00:00+00:00,50.22,,49.0,opener,1.22,OVER,2026-08-21T16:36:33+00:00,45.0,47.0,LOSS,2026-09-06T15:59:30+00:00,,,,,,,,,
401856662,2026,1,UL Monroe,Mississippi State,2026-09-05 23:30:00+00:00,52.7,,55.5,opener,-2.8,UNDER,2026-08-21T16:36:33+00:00,75.0,55.0,LOSS,2026-09-06T15:59:30+00:00,,,,,,,,,
401856634,2026,1,East Carolina,Alabama,2026-09-05 16:00:00+00:00,55.86,,53.5,opener,2.36,OVER,2026-08-21T16:36:33+00:00,58.0,52.5,WIN,2026-09-06T15:59:30+00:00,,,,,,,,,
401864432,2026,1,Western Kentucky,Nevada,2026-09-06 02:30:00+00:00,49.11,,53.5,opener,-4.39,UNDER,2026-08-21T16:36:33+00:00,63.0,51.5,LOSS,2026-09-06T15:59:30+00:00,,,,,,,,,
401858430,2026,1,Ohio,Nebraska,2026-09-05 16:00:00+00:00,52.86,,47.5,opener,5.36,OVER,2026-08-21T16:36:33+00:00,70.0,46.5,WIN,2026-09-06T15:59:30+00:00,,,,,,,,,
401858426,2026,1,Northern Illinois,Iowa,2026-09-05 20:15:00+00:00,47.47,,43.5,opener,3.97,OVER,2026-08-21T16:36:33+00:00,40.0,44.5,LOSS,2026-09-06T15:59:30+00:00,,,,,,,,,
401858434,2026,1,Marshall,Penn State,2026-09-05 19:30:00+00:00,56.94,,54.5,opener,2.44,OVER,2026-08-21T16:36:33+00:00,45.0,52.0,LOSS,2026-09-06T15:59:30+00:00,,,,,,,,,
401864497,2026,1,UNLV,Hawai'i,2026-09-06 02:00:00+00:00,61.81,,58.5,opener,3.31,OVER,2026-08-21T16:36:33+00:00,27.0,55.5,LOSS,2026-09-06T15:59:30+00:00,,,,,,,,,
401856665,2026,1,Kent State,South Carolina,2026-09-05 16:45:00+00:00,53.12,,52.5,opener,0.62,OVER,2026-08-21T16:36:33+00:00,57.0,53.5,WIN,2026-09-06T15:59:30+00:00,,,,,,,,,
401864570,2026,1,New Mexico State,Florida State,2026-08-29 23:00:00+00:00,52.09,,53.5,opener,-1.41,UNDER,2026-08-21T16:36:33+00:00,51.0,53.5,WIN,2026-08-30T17:13:02+00:00,,,,,,,,,
