league,game_id,season,week,away_team,home_team,kickoff,model_total,model_spread,market_total,market_spread,first_market_total,first_market_spread,actual_total,actual_margin,clv_total,clv_spread,total_result,spread_result,projection_generated_at,graded_at
ncaa,401868040,2026,1,William & Mary,Villanova,2026-08-28T22:00:00Z,50.64923493603566,22.290486757452562,50.5,11.5,50.5,11.5,67.0,-3.0,0.0,0.0,WIN,LOSS,2026-08-28T11:25:51.738192Z,2026-09-01T02:16:29+00:00
ncaa,401868049,2026,1,Abilene Christian,Lamar,2026-08-29T23:00:00Z,47.79089265995107,5.2755710944256755,49.5,-7.5,49.5,-7.5,35.0,7.0,0.0,0.0,WIN,WIN,2026-08-29T22:40:59.489944Z,2026-09-01T02:16:29+00:00
ncaa,401868073,2026,1,Idaho,Cal Poly,2026-08-29T02:00:00Z,55.467790126316764,2.9515912956850165,53.5,-4.5,55.5,-3.5,72.0,4.0,2.0,-1.0,WIN,WIN,2026-08-28T22:22:33.928528Z,2026-09-01T02:16:29+00:00
ncaa,401868084,2026,1,Eastern Washington,Northern Arizona,2026-08-29T21:00:00Z,56.29556988888676,15.329451927385223,55.5,5.5,56.5,3.0,61.0,7.0,1.0,2.5,WIN,WIN,2026-08-29T19:25:38.901245Z,2026-09-01T02:16:29+00:00
ncaa,401868101,2026,1,VMI,Idaho State,2026-08-29T22:00:00Z,55.936499177934344,22.52976389515547,53.5,34.5,60.5,34.5,48.0,28.0,7.0,0.0,LOSS,WIN,2026-08-29T19:25:38.901245Z,2026-09-01T02:16:29+00:00
ncaa,401868110,2026,1,Southern Utah,Montana,2026-08-30T01:00:00Z,58.343239717672354,15.53003366730483,59.5,15.5,58.5,16.5,49.0,7.0,-1.0,1.0,WIN,LOSS,2026-08-29T22:40:59.489944Z,2026-09-01T02:16:29+00:00
ncaa,401868118,2026,1,Montana State,Utah Tech,2026-08-30T02:00:00Z,49.39659232896274,-8.896368153169183,57.5,-32.5,56.5,-31.5,54.0,-54.0,-1.0,-1.0,WIN,LOSS,2026-08-29T22:40:59.489944Z,2026-09-01T02:16:29+00:00
ncaa,401868129,2026,1,Weber State,Northern Colorado,2026-08-29T01:00:00Z,48.96091034696077,4.99980774558909,50.5,3.0,49.5,3.5,59.0,-1.0,-1.0,-0.5,LOSS,LOSS,2026-08-28T22:22:33.928528Z,2026-09-01T02:16:29+00:00
ncaa,401868139,2026,1,Eastern Kentucky,Western Carolina,2026-08-29T23:00:00Z,56.15201427194899,13.599987713403511,54.5,3.0,50.5,4.5,66.0,24.0,4.0,-1.5,WIN,WIN,2026-08-29T22:40:59.489944Z,2026-09-01T02:16:29+00:00
ncaa,401868149,2026,1,Samford,North Alabama,2026-08-29T23:00:00Z,55.82894016532753,8.50825098667754,55.5,7.0,55.5,7.5,32.0,12.0,0.0,-0.5,LOSS,WIN,2026-08-29T22:40:59.489944Z,2026-09-01T02:16:29+00:00
ncaa,401868154,2026,1,UC Davis,Portland State,2026-08-29T19:00:00Z,56.64409742446666,-5.7561691798169266,62.5,-24.5,62.5,-24.5,55.0,-7.0,0.0,0.0,WIN,WIN,2026-08-29T13:51:33.853599Z,2026-09-01T02:16:29+00:00
ncaa,401868194,2026,1,Jackson State,Tennessee State,2026-08-30T00:30:00Z,49.16132531301314,-5.874543911395993,49.5,-12.5,49.5,-12.5,50.0,-2.0,0.0,0.0,LOSS,WIN,2026-08-29T22:40:59.489944Z,2026-09-01T02:16:29+00:00
ncaa,401868235,2026,1,Prairie View A&M,Tarleton State,2026-08-30T01:00:00Z,56.77503704013457,10.72233450572471,54.5,19.5,54.5,21.5,79.0,19.0,0.0,2.0,WIN,WIN,2026-08-29T22:40:59.489944Z,2026-09-01T02:16:29+00:00
ncaa,401868261,2026,1,Marist,New Haven,2026-08-28T22:00:00Z,54.17761178179904,14.770151356135038,45.5,-1.5,45.5,-1.5,43.0,1.0,0.0,0.0,LOSS,WIN,2026-08-28T11:25:51.738192Z,2026-09-01T02:16:29+00:00
ncaa,401868305,2026,1,Stephen F. Austin,McNeese,2026-08-29T23:00:00Z,51.936516470898674,1.227544244725286,49.5,-12.5,49.5,-13.5,65.0,-11.0,0.0,1.0,WIN,WIN,2026-08-29T22:40:59.489944Z,2026-09-01T02:16:29+00:00
ncaa,401868324,2026,1,Southern,Alabama State,2026-08-29T19:00:00Z,56.72133096064996,13.048642213647838,56.5,19.5,56.5,19.5,47.0,-13.0,0.0,0.0,LOSS,WIN,2026-08-29T13:51:33.853599Z,2026-09-01T02:16:29+00:00
ncaa,401868394,2026,1,The Citadel,Wofford,2026-08-29T22:00:00Z,45.70956136864903,18.436224350565734,45.5,7.5,45.5,8.5,56.0,28.0,0.0,-1.0,WIN,WIN,2026-08-29T19:25:38.901245Z,2026-09-01T02:16:29+00:00
ncaa,401872615,2026,1,Stetson,South Dakota State,2026-08-29T23:00:00Z,52.36355948513688,27.814595822565163,58.5,50.5,56.5,47.5,77.0,63.0,-2.0,-3.0,LOSS,LOSS,2026-08-29T22:40:59.489944Z,2026-09-01T02:16:29+00:00
ncaa,401874042,2026,1,East Texas A&M,Mercer,2026-08-29T23:00:00Z,59.42675465248843,22.884100030076517,57.5,22.5,60.5,23.5,38.0,8.0,3.0,1.0,LOSS,LOSS,2026-08-29T22:40:59.489944Z,2026-09-01T02:16:29+00:00
