league,game_id,decision_hours,schema_version,season,week,home_team,away_team,kickoff,prediction_id,model_version,projection_generated_at,graded_at,matchup_group,actual_margin,actual_total,confidence,out_of_distribution,actual_horizon_hours,margin_interval_80_covered,model_spread,market_spread,spread_result,reference_movement_spread,same_book_line_clv_spread,close_spread,close_book_spread,close_observed_at_spread,model_total,market_total,total_result,reference_movement_total,same_book_line_clv_total,close_total,close_book_total,close_observed_at_total
ncaa,401856766,24,2,2026,1,TCU,North Carolina,2026-08-29T16:00:00+00:00,664e6612a768634c3b5f93bd,ncaa-669bbfbc23152108,2026-08-28T11:25:51.738192Z,2026-09-09T15:41:05.062091+00:00,unknown,-5.0,25.0,preseason,False,28.56896161333333,True,13.514131895694325,9.0,LOSS,-1.0,,,,,52.64583234315639,46.5,LOSS,-0.5,,,,
ncaa,401856766,1,2,2026,1,TCU,North Carolina,2026-08-29T16:00:00+00:00,7ca11446a39209bc6d475d0b,ncaa-669bbfbc23152108,2026-08-29T13:51:33.853599Z,2026-09-09T15:41:05.062091+00:00,unknown,-5.0,25.0,preseason,False,2.1405962225,True,13.499388231384218,8.0,LOSS,0.0,,,,,52.8237882595959,46.0,LOSS,0.0,,,,
ncaa,401864494,1,2,2026,1,USC,San José State,2026-08-29T19:00:00+00:00,a6ef97e7177eeb22101d1904,ncaa-669bbfbc23152108,2026-08-29T13:51:33.853599Z,2026-09-09T15:41:05.062091+00:00,unknown,16.0,68.0,preseason,False,5.1405962225,True,30.551158568536444,38.5,WIN,0.0,,,,,52.70816008129864,61.5,LOSS,0.0,,,,
ncaa,401858202,1,2,2026,1,Virginia,NC State,2026-08-29T19:30:00+00:00,1ee68ed161d1ad2b61225988,ncaa-669bbfbc23152108,2026-08-29T13:51:33.853599Z,2026-09-09T15:41:05.062091+00:00,unknown,26.0,42.0,preseason,False,5.6405962225,True,6.111349074146808,4.0,WIN,0.0,,,,,58.71654274157683,51.0,LOSS,-0.5,,,,
ncaa,401864577,1,2,2026,1,North Dakota State,Jacksonville State,2026-08-29T21:30:00+00:00,13deec2da8df85edfbaf124f,ncaa-669bbfbc23152108,2026-08-29T19:25:38.901245Z,2026-09-09T15:41:05.062091+00:00,unknown,26.0,40.0,incomplete,False,2.072527431944444,True,14.944627955885268,7.0,WIN,0.0,,,,,58.329862038361775,46.5,LOSS,0.0,,,,
ncaa,401866408,24,2,2026,1,Eastern Michigan,Sacramento State,2026-08-29T22:30:00+00:00,1d68151a1b6aba5d015dcf60,ncaa-669bbfbc23152108,2026-08-28T22:22:33.928528Z,2026-09-09T15:41:05.062091+00:00,unknown,11.0,45.0,incomplete,False,24.12390874222222,True,4.579728125039985,9.0,LOSS,0.5,,,,,57.64830042781154,53.0,LOSS,0.0,,,,
ncaa,401866408,1,2,2026,1,Eastern Michigan,Sacramento State,2026-08-29T22:30:00+00:00,dd2ee43e6727bc3a05986731,ncaa-669bbfbc23152108,2026-08-29T19:25:38.901245Z,2026-09-09T15:41:05.062091+00:00,unknown,11.0,45.0,incomplete,False,3.0725274319444447,True,4.342685320724804,8.5,LOSS,0.0,,,,,57.636226413479584,53.0,LOSS,0.0,,,,
ncaa,401858201,24,2,2026,1,Stanford,Hawai'i,2026-08-29T23:00:00+00:00,6808edd81a59b72366c7bc04,ncaa-669bbfbc23152108,2026-08-28T22:22:33.928528Z,2026-09-09T15:41:05.062091+00:00,unknown,10.0,64.0,preseason,False,24.62390874222222,True,3.585358079036981,4.0,LOSS,-0.5,,,,,50.27958285399561,48.5,WIN,0.0,,,,
ncaa,401858201,1,2,2026,1,Stanford,Hawai'i,2026-08-29T23:00:00+00:00,3d605cdd6438bf14efa1e99b,ncaa-669bbfbc23152108,2026-08-29T19:25:38.901245Z,2026-09-09T15:41:05.062091+00:00,unknown,10.0,64.0,preseason,False,3.5725274319444447,True,3.416684387292144,5.0,LOSS,0.5,,,,,50.19755736821301,48.5,WIN,0.0,,,,
ncaa,401864570,24,2,2026,1,Florida State,New Mexico State,2026-08-29T23:00:00+00:00,c05676a16ed7496a220d1b36,ncaa-669bbfbc23152108,2026-08-28T22:22:33.928528Z,2026-09-09T15:41:05.062091+00:00,unknown,17.0,51.0,preseason,False,24.62390874222222,True,17.684898876540593,31.0,WIN,0.0,,,,,51.199297658899184,53.5,WIN,0.0,,,,
