game_id,season,week,away_team,home_team,kickoff,forecast_wind_mph,forecast_issued_at,hours_before_kickoff,market_total_at_bet,price_under,side,recorded_at,actual_total,market_total_close,observed_wind_mph,result,graded_at,protocol_version,book,quote_source,quote_observed_at,quote_id,quote_payload,price,price_status,model_version
2026_01_DEN_KC,2026,1,DEN,KC,2026-09-14 20:15:00,14.1,2026-09-13T16:50:33+00:00,31.4,43.5,-112.0,UNDER,2026-09-13T16:50:36+00:00,41.0,42.5,13.0,WIN,2026-09-15T17:28:38+00:00,W1-reference-v2,nflverse,nflverse/schedules,2026-09-13T16:50:33+00:00,33ba75eb2a1e7ee135429c2838d4f9981c8eff38797d185231ea9b38c1c5254a,"{""game_id"": ""2026_01_DEN_KC"", ""line"": 43.5, ""observed_at"": ""2026-09-13T16:50:33+00:00"", ""price_under"": -112.0, ""source"": ""nflverse/schedules""}",-112.0,aggregate_reference_execution_unverified,W1-08bc1c8fd3f9bb89b96e
2026_02_NO_BAL,2026,2,NO,BAL,2026-09-20 13:00:00,10.6,2026-09-19T16:13:53+00:00,24.8,46.5,-122.0,UNDER,2026-09-19T16:13:59+00:00,41.0,45.5,10.0,WIN,2026-09-21T18:28:51+00:00,W1-reference-v2,nflverse,nflverse/schedules,2026-09-19T16:13:53+00:00,40dc6889b0794775c4a64ac52f421dbb1eed20be9daa865c9f9cbfbb61516b44,"{""game_id"": ""2026_02_NO_BAL"", ""line"": 46.5, ""observed_at"": ""2026-09-19T16:13:53+00:00"", ""price_under"": -122.0, ""source"": ""nflverse/schedules""}",-122.0,aggregate_reference_execution_unverified,W1-08bc1c8fd3f9bb89b96e
2026_02_MIN_CHI,2026,2,MIN,CHI,2026-09-20 13:00:00,13.2,2026-09-19T16:13:53+00:00,24.8,47.5,-108.0,UNDER,2026-09-19T16:13:59+00:00,12.0,46.5,8.0,WIN,2026-09-21T18:28:51+00:00,W1-reference-v2,nflverse,nflverse/schedules,2026-09-19T16:13:53+00:00,95926e65cb0af89d4fa1f0f16378c22ff23b966d4d41bda440c8183086ddb1ab,"{""game_id"": ""2026_02_MIN_CHI"", ""line"": 47.5, ""observed_at"": ""2026-09-19T16:13:53+00:00"", ""price_under"": -108.0, ""source"": ""nflverse/schedules""}",-108.0,aggregate_reference_execution_unverified,W1-08bc1c8fd3f9bb89b96e
2026_03_TEN_NYG,2026,3,TEN,NYG,2026-09-27 13:00:00,18.1,2026-09-25T17:46:12+00:00,47.2,38.5,-112.0,UNDER,2026-09-25T17:46:16+00:00,,,,,,W1-reference-v2,nflverse,nflverse/schedules,2026-09-25T17:46:12+00:00,ee4bb0741bf19ba80fdace973086c72ae163f34f8392d442cbe35d664ef1cb84,"{""game_id"": ""2026_03_TEN_NYG"", ""line"": 38.5, ""observed_at"": ""2026-09-25T17:46:12+00:00"", ""price_under"": -112.0, ""source"": ""nflverse/schedules""}",-112.0,aggregate_reference_execution_unverified,W1-08bc1c8fd3f9bb89b96e
2026_03_SEA_WAS,2026,3,SEA,WAS,2026-09-27 13:00:00,15.1,2026-09-25T17:46:12+00:00,47.2,40.5,-118.0,UNDER,2026-09-25T17:46:16+00:00,,,,,,W1-reference-v2,nflverse,nflverse/schedules,2026-09-25T17:46:12+00:00,eb250390afc2c64c987c9cb5e71d2ad197ae0416e8421908858fc169e71d7a8a,"{""game_id"": ""2026_03_SEA_WAS"", ""line"": 40.5, ""observed_at"": ""2026-09-25T17:46:12+00:00"", ""price_under"": -118.0, ""source"": ""nflverse/schedules""}",-118.0,aggregate_reference_execution_unverified,W1-08bc1c8fd3f9bb89b96e
2026_03_CIN_PIT,2026,3,CIN,PIT,2026-09-27 13:00:00,10.1,2026-09-25T17:46:12+00:00,47.2,42.5,-110.0,UNDER,2026-09-25T17:46:16+00:00,,,,,,W1-reference-v2,nflverse,nflverse/schedules,2026-09-25T17:46:12+00:00,9ffe14bab41e10a5a7947104415d7ed95adea139f5493a77f0d75dc4b1c210f6,"{""game_id"": ""2026_03_CIN_PIT"", ""line"": 42.5, ""observed_at"": ""2026-09-25T17:46:12+00:00"", ""price_under"": -110.0, ""source"": ""nflverse/schedules""}",-110.0,aggregate_reference_execution_unverified,W1-08bc1c8fd3f9bb89b96e
2026_03_CAR_CLE,2026,3,CAR,CLE,2026-09-27 13:00:00,12.1,2026-09-25T17:46:12+00:00,47.2,42.5,-112.0,UNDER,2026-09-25T17:46:16+00:00,,,,,,W1-reference-v2,nflverse,nflverse/schedules,2026-09-25T17:46:12+00:00,ed36f7e0f9a32ca7b5638119854932512ad6fc760fb2a9cc93bf105d3a16a9d3,"{""game_id"": ""2026_03_CAR_CLE"", ""line"": 42.5, ""observed_at"": ""2026-09-25T17:46:12+00:00"", ""price_under"": -112.0, ""source"": ""nflverse/schedules""}",-112.0,aggregate_reference_execution_unverified,W1-08bc1c8fd3f9bb89b96e
2026_03_LAC_BUF,2026,3,LAC,BUF,2026-09-27 13:00:00,15.8,2026-09-25T17:46:12+00:00,47.2,50.5,-115.0,UNDER,2026-09-25T17:46:16+00:00,,,,,,W1-reference-v2,nflverse,nflverse/schedules,2026-09-25T17:46:12+00:00,c00fdc3c72e362dafbd2d9c3ecb0f61f7f6161291fa102d00c4b371498e63413,"{""game_id"": ""2026_03_LAC_BUF"", ""line"": 50.5, ""observed_at"": ""2026-09-25T17:46:12+00:00"", ""price_under"": -115.0, ""source"": ""nflverse/schedules""}",-115.0,aggregate_reference_execution_unverified,W1-08bc1c8fd3f9bb89b96e
2026_03_LA_DEN,2026,3,LA,DEN,2026-09-27 20:20:00,15.1,2026-09-26T16:52:29+00:00,31.5,44.5,-118.0,UNDER,2026-09-26T16:52:35+00:00,,,,,,W1-reference-v2,nflverse,nflverse/schedules,2026-09-26T16:52:29+00:00,547ffcbe1c2d5477b9c65a0d59c8f54c1f588cbce5ad2e02c11329358ccbb8f7,"{""game_id"": ""2026_03_LA_DEN"", ""line"": 44.5, ""observed_at"": ""2026-09-26T16:52:29+00:00"", ""price_under"": -118.0, ""source"": ""nflverse/schedules""}",-118.0,aggregate_reference_execution_unverified,W1-08bc1c8fd3f9bb89b96e
